Chave : 119736, PRR: 0
Chave : 448094, PRR: 122
Chave : 206893, PRR: 256
Chave : 333743, PRR: 381
Chave : 172534, PRR: 484
Chave : 785275, PRR: 595
Chave : 995932, PRR: 704
Chave : 223488, PRR: 821
Chave : 433512, PRR: 940
Chave : 142071, PRR: 1059
Chave : 253816, PRR: 1186
Chave : 894922, PRR: 1314
Chave : 422834, PRR: 1417
Chave : 582721, PRR: 1520
Chave : 842700, PRR: 1622
Chave : 874333, PRR: 1724
Chave : 580146, PRR: 1827
Chave : 456149, PRR: 1929
Chave : 767862, PRR: 2032
Chave : 353022, PRR: 2133
Chave : 367814, PRR: 2236
Chave : 671392, PRR: 2339
Chave : 772887, PRR: 2456
Chave : 983122, PRR: 2568
Chave : 934215, PRR: 2674
Chave : 385951, PRR: 2780
Chave : 716332, PRR: 2882
Chave : 751262, PRR: 2987
Chave : 633663, PRR: 3089
Chave : 105851, PRR: 3185
Chave : 710400, PRR: 3290
Chave : 703001, PRR: 3389
Chave : 352792, PRR: 3495
Chave : 717603, PRR: 3603
Chave : 937659, PRR: 3705
Chave : 294022, PRR: 3813
Chave : 410500, PRR: 3920
Chave : 524433, PRR: 4027
Chave : 779298, PRR: 4151
Chave : 491831, PRR: 4278
Chave : 814637, PRR: 4388
Chave : 737515, PRR: 4498
Chave : 222653, PRR: 4611
Chave : 788543, PRR: 4724
Chave : 691681, PRR: 4843
Chave : 368807, PRR: 4960
Chave : 174002, PRR: 5072
Chave : 198760, PRR: 5191
Chave : 831395, PRR: 5304
Chave : 305698, PRR: 5417
Chave : 515722, PRR: 5534
Chave : 415582, PRR: 5646
Chave : 783533, PRR: 5755
Chave : 640802, PRR: 5861
Chave : 403866, PRR: 5971
Chave : 828788, PRR: 6079
Chave : 751490, PRR: 6188
Chave : 972562, PRR: 6296
Chave : 367541, PRR: 6406
Chave : 481360, PRR: 6515
Chave : 920232, PRR: 6618
Chave : 727659, PRR: 6722
Chave : 471817, PRR: 6848
Chave : 983043, PRR: 6964
Chave : 578286, PRR: 7081
Chave : 347276, PRR: 7197
Chave : 477786, PRR: 7297
Chave : 265907, PRR: 7423
Chave : 107560, PRR: 7527
Chave : 908183, PRR: 7639
Chave : 356024, PRR: 7740
Chave : 575299, PRR: 7844
Chave : 790478, PRR: 7952
Chave : 801776, PRR: 8055
Chave : 291781, PRR: 8161
Chave : 537286, PRR: 8270
Chave : 289305, PRR: 8384
Chave : 697409, PRR: 8501
Chave : 633944, PRR: 8610
Chave : 963511, PRR: 8719
Chave : 729649, PRR: 8822
Chave : 862584, PRR: 8930
Chave : 371891, PRR: 9033
Chave : 785595, PRR: 9138
Chave : 567696, PRR: 9247
Chave : 219025, PRR: 9349
Chave : 447216, PRR: 9454
Chave : 305141, PRR: 9553
Chave : 625575, PRR: 9655
Chave : 262109, PRR: 9757
Chave : 228457, PRR: 9864
Chave : 622799, PRR: 9977
Chave : 233271, PRR: 10087
Chave : 932950, PRR: 10219
Chave : 641952, PRR: 10325
Chave : 796260, PRR: 10453
Chave : 301822, PRR: 10567
Chave : 559927, PRR: 10695
Chave : 224400, PRR: 10801
Chave : 123936, PRR: 10910
Chave : 333818, PRR: 11037
Chave : 254323, PRR: 11151
Chave : 247444, PRR: 11263
Chave : 882598, PRR: 11361
Chave : 386918, PRR: 11475
Chave : 497337, PRR: 11572
Chave : 526844, PRR: 11678
Chave : 623400, PRR: 11800
Chave : 826170, PRR: 11901
Chave : 185483, PRR: 12011
Chave : 920003, PRR: 12118
Chave : 274246, PRR: 12232
Chave : 423636, PRR: 12336
Chave : 970906, PRR: 12452
Chave : 227898, PRR: 12578
Chave : 525138, PRR: 12683
Chave : 923627, PRR: 12789
Chave : 619743, PRR: 12895
Chave : 910727, PRR: 13000
Chave : 363647, PRR: 13104
Chave : 512519, PRR: 13209
Chave : 904304, PRR: 13315
Chave : 835349, PRR: 13420
Chave : 891725, PRR: 13525
Chave : 923503, PRR: 13631
Chave : 292347, PRR: 13736
Chave : 363828, PRR: 13844
Chave : 110490, PRR: 13952
Chave : 480733, PRR: 14057
Chave : 993346, PRR: 14166
